Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.912e-06,,,,,Horizontal Delay,2.912e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,250,25,20,20,,Vertical Scale,0.0005
Vertical Position,1.98,1,-2,-3.92,,Vertical Position,-2.01364
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-8.6160e-07,245,-8,0,-0.8,,-8.6160e-07,7.05358e-06
-8.6080e-07,255,-9,0,0,,-8.6080e-07,7.05358e-06
-8.6000e-07,245,-9,0.8,-0.8,,-8.6000e-07,7.20983e-06
-8.5920e-07,265,-10,0,0,,-8.5920e-07,7.20983e-06
-8.5840e-07,255,-9,0.8,-0.8,,-8.5840e-07,7.36608e-06
-8.5760e-07,255,-10,-0.8,-0.8,,-8.5760e-07,7.20983e-06
-8.5680e-07,255,-10,0,0,,-8.5680e-07,7.20983e-06
-8.5600e-07,255,-11,0,-0.8,,-8.5600e-07,7.20983e-06
-8.5520e-07,265,-10,0,0,,-8.5520e-07,7.20983e-06
-8.5440e-07,255,-8,0.8,-0.8,,-8.5440e-07,7.36608e-06
-8.5360e-07,265,-9,0,-0.8,,-8.5360e-07,7.36608e-06
-8.5280e-07,245,-10,0.8,-0.8,,-8.5280e-07,7.52233e-06
-8.5200e-07,245,-9,0.8,-0.8,,-8.5200e-07,7.67858e-06
-8.5120e-07,255,-9,0.8,-0.8,,-8.5120e-07,7.83483e-06
-8.5040e-07,245,-9,0,-0.8,,-8.5040e-07,7.83483e-06
-8.4960e-07,255,-10,0,0,,-8.4960e-07,7.83483e-06
-8.4880e-07,255,-10,0,0,,-8.4880e-07,7.83483e-06
-8.4800e-07,255,-9,0,0,,-8.4800e-07,7.83483e-06
-8.4720e-07,255,-9,0,0.8,,-8.4720e-07,7.83483e-06
-8.4640e-07,255,-10,-0.8,0,,-8.4640e-07,7.67858e-06
-8.4560e-07,255,-9,0,-0.8,,-8.4560e-07,7.67858e-06
